id,data,first_tu,to_id,to_data,name,to_name,note
# What a block becomes when the target title update is too old to hold it.
#
# Keyed on (id, data) because most of what needs substituting is not a
# separate block id at all - stone is id 1 and granite, diorite and andesite
# are data values 1-6 on it, so an id-only table would either miss them or
# flatten real stone along with them.
#
# "first_tu" is the earliest title update the block EXISTS in, taken from the
# per-update pages on minecraft.wiki. A conversion to anything below that
# applies the substitution; at or above it, nothing happens. data = -1 means
# "any data value".
#
# Two sources feed this and they are not equal:
#   * the wiki says when a block became AVAILABLE - authoritative
#   * templates/block_first_seen.csv says when one was first SEEN in a sample
#     world - a lower bound only, since a block nobody placed never appears
# Where they disagree the wiki wins. TU25 is the worked example: the samples
# put acacia and dark oak at TU31 because that is where they happened to be
# built with, but the wiki has the wood arriving at TU25.
#
# The rule throughout is: replace with something that could plausibly have
# been there, so the world still reads as natural. Air is the last resort,
# never the default - a hole is more obvious than the wrong stone.

# --- TU53, Java 1.12, World of Color --------------------------------------
219,-1,53,54,0,Shulker Box,Chest,a container that keeps its contents
220,-1,53,54,0,Shulker Box,Chest,
221,-1,53,54,0,Shulker Box,Chest,
222,-1,53,54,0,Shulker Box,Chest,
223,-1,53,54,0,Shulker Box,Chest,
224,-1,53,54,0,Shulker Box,Chest,
225,-1,53,54,0,Shulker Box,Chest,
226,-1,53,54,0,Shulker Box,Chest,
227,-1,53,54,0,Shulker Box,Chest,
228,-1,53,54,0,Shulker Box,Chest,
229,-1,53,54,0,Shulker Box,Chest,
230,-1,53,54,0,Shulker Box,Chest,
231,-1,53,54,0,Shulker Box,Chest,
232,-1,53,54,0,Shulker Box,Chest,
233,-1,53,54,0,Shulker Box,Chest,
234,-1,53,54,0,Shulker Box,Chest,
235,-1,53,159,0,Glazed Terracotta,Stained Clay,the colour survives; the pattern does not
251,-1,53,159,0,Concrete,Stained Clay,the same colour as a solid block
252,-1,53,12,0,Concrete Powder,Sand,it behaves like sand and looks like it

# --- TU43, Java 1.9 / 1.10 ------------------------------------------------
206,-1,43,121,0,End Stone Bricks,End Stone,
207,-1,43,0,0,Beetroots,Air,a crop
208,-1,43,3,0,Dirt Path,Dirt,it is dirt with the top worn off
212,-1,43,79,0,Frosted Ice,Ice,
213,-1,43,87,0,Magma Block,Netherrack,both are the hot block of the Nether
214,-1,43,87,0,Nether Wart Block,Netherrack,
215,-1,43,112,0,Red Nether Bricks,Nether Bricks,
216,-1,43,155,0,Bone Block,Block of Quartz,pale and pillar-shaped
176,-1,43,0,0,Banner,Air,a banner is a thin decoration
177,-1,43,0,0,Wall Banner,Air,

# --- TU54, Java 1.11 / 1.12, Exploration and World of Color ---------------
218,-1,54,29,0,Observer,Sticky Piston,both are the block that reacts to a change
26,-1,54,26,0,Coloured Bed,Bed,TU54 added the 15 other colours; the bed itself is TU0

# --- TU46, Java 1.10, the Holiday Update ----------------------------------
201,-1,46,155,0,Purpur Block,Block of Quartz,the pale decorative block of its era
202,-1,46,155,2,Purpur Pillar,Pillar Quartz Block,
203,-1,46,156,0,Purpur Stairs,Quartz Stairs,
204,-1,46,44,7,Purpur Slab,Quartz Slab,
198,-1,46,50,5,End Rod,Torch,each is the small light on a surface
199,-1,46,0,0,Chorus Plant,Air,a End plant with nothing older to be
200,-1,46,0,0,Chorus Flower,Air,a End plant with nothing older to be

# --- TU31, Java 1.8, the Bountiful Update ---------------------------------
1,1,31,1,0,Granite,Stone,the stone variants are the whole point of this table
1,2,31,1,0,Polished Granite,Stone,
1,3,31,1,0,Diorite,Stone,
1,4,31,1,0,Polished Diorite,Stone,
1,5,31,1,0,Andesite,Stone,
1,6,31,1,0,Polished Andesite,Stone,
3,1,31,3,0,Coarse Dirt,Dirt,
3,2,31,3,0,Podzol,Dirt,
12,1,31,12,0,Red Sand,Sand,
24,2,31,24,0,Smooth Sandstone,Sandstone,
